comunidad,prom_ratio,prom_overlap,familia_mas_frecuente,n_miembros
16,1.0717774346938775,0.4775510204081632,http://example.org/lang/araw1281,49
12,1.0417476818181817,0.5681818181818182,http://example.org/lang/tupi1275,44
8,1.1118572675675675,0.4135135135135135,http://example.org/lang/east2698,37
1,1.028795217857143,0.8821428571428571,http://example.org/lang/quec1387,28
15,1.2410860461538462,0.3423076923076923,http://example.org/lang/clas1257,26
20,1.0961457615384615,0.41538461538461535,http://example.org/lang/araw1281,26
24,1.0465321688,0.8,http://example.org/lang/tupi1275,25
19,1.1352996333333334,0.3125,http://example.org/lang/araw1281,24
2,1.1756973416666667,0.24166666666666667,http://example.org/lang/cari1283,24
11,1.2064321772727273,0.3181818181818182,http://example.org/lang/main1279,22
25,1.1462597954545455,0.2818181818181818,http://example.org/lang/cari1283,22
6,1.149386905,0.35,http://example.org/lang/cerr1237,20
0,1.3264248842105264,0.2421052631578947,http://example.org/lang/araw1281,19
10,1.1485165210526318,0.26842105263157895,http://example.org/lang/araw1281,19
22,1.1623934388888888,0.3333333333333333,http://example.org/lang/tupi1275,18
9,1.1551261599999998,0.3333333333333333,http://example.org/lang/pano1256,15
18,1.1439918933333333,0.6466666666666667,http://example.org/lang/araw1281,15
23,1.2668615923076925,0.2,http://example.org/lang/huit1251,13
21,1.5554241692307693,0.11538461538461539,http://example.org/lang/jeee1236,13
14,1.3608824333333331,0.20833333333333334,http://example.org/lang/araw1281,12
26,1.223234925,0.3166666666666667,http://example.org/lang/quec1387,12
17,1.0133473272727274,0.9272727272727272,http://example.org/lang/deaf1237,11
7,1.0593136818181819,0.8636363636363636,http://example.org/lang/deaf1237,11
5,1.3804107,0.62,http://example.org/lang/chib1249,10
3,1.457030277777778,0.2222222222222222,http://example.org/lang/jiva1245,9
4,1.3223091333333334,0.3,http://example.org/lang/chon1288,6
13,0.5884798833333332,0.20000000000000004,http://example.org/lang/deaf1237,3
