comunidad,n_miembros,intra_prom,inter_prom,relacion_inter/intra,n_lenguas,n_familias,macroareas,lat_std,lon_std
2,75,0.4444175,0.52490914,1.1811172,75,25,1,12.653205718212108,11.211364679611089
22,75,0.45817435,0.5586448,1.2192843,72,20,1,12.940244067834072,11.364279078383772
0,69,0.4548501,0.55626106,1.2229546,64,17,1,13.889045695768896,10.199845726308952
16,66,0.58877295,0.6393929,1.0859753,66,20,1,10.94740449788126,8.808808867269558
19,66,0.5255238,0.56069046,1.0669174,66,10,1,7.167380932103291,7.3349162609757395
11,57,0.5325904,0.5700974,1.0704237,57,16,1,7.732087450674787,6.452625879703018
1,56,0.45473123,0.56189257,1.2356586,55,4,1,7.017927446695373,3.1706704519296296
25,55,0.57281727,0.57549953,1.0046825,55,12,1,9.373064533320527,10.383267518700869
21,54,0.4952618,0.53959846,1.0895216,54,11,1,18.769402586719256,9.244947956042477
8,48,0.5912017,0.61017466,1.0320921,48,11,1,10.924207411671821,4.631282769949021
23,48,0.47984233,0.5195164,1.0826815,48,17,1,13.335186677388437,8.001109317734391
12,47,0.55370826,0.62559116,1.129821,47,8,1,5.739278232315028,7.710800820806147
24,46,0.4746117,0.54417217,1.1465629,45,12,1,6.6235502355287865,7.659535240748217
15,43,0.57995117,0.59528464,1.0264393,43,12,1,12.080552363483301,7.5101697556469995
26,41,0.48013455,0.5511946,1.1480004,40,7,1,8.017591260654287,7.776195533974048
10,38,0.58091533,0.59488547,1.0240484,38,16,1,8.30348338655449,7.123541272305102
20,37,0.5832692,0.6153263,1.0549611,37,9,1,7.939047140566235,9.346826033803227
14,32,0.4521037,0.5466303,1.2090818,31,8,1,6.743158416007419,8.668140284616182
18,25,0.55168515,0.5969485,1.0820457,25,9,1,6.486731233046669,12.132128116770712
9,24,0.5846039,0.59730494,1.0217259,24,6,1,8.588506691413164,7.7221559089677765
6,24,0.5639257,0.6266923,1.111303,24,8,1,8.291064506863016,10.423205815177
4,23,0.5121916,0.57654303,1.1256394,23,8,1,22.26489291111742,5.675164955017669
3,16,0.5214993,0.54945457,1.0536057,16,6,1,10.427644813077046,9.54274969954131
7,11,0.30414355,0.71599424,2.3541327,11,1,1,8.181933913618012,12.329085087459736
5,11,0.43039313,0.5866874,1.363143,11,6,1,3.254981873340674,3.5032399753267374
17,11,0.5012665,0.70025367,1.3969688,11,1,1,17.799860551384246,11.251371930591317
13,3,0.2557593,0.7709985,3.014547,3,1,1,5.687592928931653,10.565968918054793
